feature,importance
power_ema_1h,57122782794.39685
power_lag_7d,40591169937.137695
dhw_share,32023705662.04883
power_roll_max_24h,31766053168.537598
power_roll_mean_1h,11766268634.925049
device_avg_power,9758426496.26709
heating_share,4719621724.981689
power_roll_mean_24h,3431903721.1572266
power_lag_1h,2155679206.765869
power_ema_24h,665075386.1652832
quarter_hour,601449934.0969238
power_roll_std_24h,290361289.52978516
power_lag_2h,143976104.5270996
power_lag_48h,134861659.70336914
power_lag_24h,116036590.86376953
day_of_week,68971016.57055664
power_lag_6h,59101425.64916992
hour_cos,33189720.82788086
device_id_encoded,23181014.877197266
power_roll_mean_6h,20187925.399902344
month,19486677.545166016
day_of_month,11327482.192626953
hour,9686883.953613281
hour_sin,8334356.737792969
is_morning,2875313.6528320312
power_roll_min_24h,1337239.580078125
dow_cos,1032418.0786132812
dow_sin,870177.5502929688
is_evening,253608.2392578125
is_night,126625.4013671875
is_weekend,8776.48046875
manufacturer_encoded,0.0
price_zone_encoded,0.0
